Formula,formula_embedding,Volume,Density,Formation_Energy_per_atom,Energy_Above_Hull,Band_Gap_eV
TiCdO3,"[-0.6652, -0.0712, -0.04, -1.2376, 0.3517, 1.0781, 0.5449, 0.9761]",277.9361028,2.488707032,-1.556925791,1.11453518,0
NaNO3,"[-0.1235, -0.2686, -0.0138, -1.1599, -0.111, 0.9297, 0.3399, 0.967]",268.8557493,2.099817011,-1.350257228,0.012939741,2.7742
VHO3,"[0.2203, -0.3718, -0.4327, -1.0186, -0.0977, 1.3217, -0.0999, 0.503]",262.1541416,2.532356877,-1.922323203,0.063992967,0.0094
SrTeO3,"[-0.304, -0.7513, -0.5039, -1.0024, -0.168, 1.3629, 0.2781, 0.422]",2270.903793,4.61931436,-2.377819146,0.003206169,3.2315
NaBrO3,"[-0.2229, 0.2422, 0.171, -1.2023, 0.2959, 1.3205, 0.2699, 0.0718]",437.1897956,2.292478117,-0.299050829,0.700010647,0
NaClO3,"[0.0162, 0.1718, 0.3568, -1.1054, -0.1335, 1.0597, -0.0988, 0.498]",523.6635832,1.350098756,-0.700789753,0.41308131,1.2022
BaBiO3,"[-0.079, -0.0938, 0.0319, -0.8856, -0.4347, 0.6316, 0.7589, 0.2101]",207.7249422,6.304104323,-1.590228198,0.643198813,1.1031
BaClO3,"[-0.1029, -0.0911, 0.3728, -0.8012, -0.4362, 0.9238, 0.1357, 0.5266]",203.7195576,3.59917163,-1.177990551,0.531044515,0.1727
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",1143.790129,3.619926268,-1.277711292,0.759128269,0.7842
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",1005.423974,4.118099469,-1.606588739,0.430250822,0.0942
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",1037.619268,3.990322905,-1.589463524,0.447376037,0.4785
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",1042.57933,3.971338978,-1.629086144,0.407753417,0.4407
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",1022.716472,4.048469,-1.578399517,0.458440044,0.4802
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",991.2331188,4.177055683,-1.637823245,0.399016316,0.4255
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",1027.241353,4.030635954,-1.655266767,0.381572794,0.6733
CrFeO3,"[0.2324, -0.8949, -0.1002, -0.9368, 0.2675, 0.917, 0.4168, 0.6437]",1025.630013,4.036968378,-1.629322427,0.407517134,0.387
AlCoO3,"[0.077, -0.6878, 0.1265, -1.2157, 0.0432, 1.1183, 0.149, -0.4026]",300.835416,4.435002914,-2.090569429,0.250709234,0
CoNiO3,"[-0.1002, -0.4921, -0.3453, -1.4805, -0.3219, 0.8971, -0.0345, -0.2417]",96.02910679,5.727980853,-1.113034287,0.023617661,0.7645
LaCoO3,"[-0.1397, -0.673, -0.3452, -1.3305, -0.5162, 1.0264, -0.3011, 0.198]",237.8774273,6.864404462,-2.569496319,0.03042982,0.6739
VCoO3,"[0.0268, -0.6466, -0.5715, -1.1549, -0.4224, 1.0033, -0.0724, 0.2539]",103.0619002,5.087313727,-1.92289943,0.099313934,1.1514
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",210.7371722,4.757296302,-1.176843884,1.273723847,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",209.8286354,4.777894914,-0.887088874,1.563478857,0
NbHO3,"[0.4415, -0.5625, -0.4878, -0.844, -0.149, 1.5208, -0.1678, 0.1165]",240.2764474,3.923002625,1.450506485,3.958451076,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",210.1167567,4.771343256,-0.88583141,1.564736321,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",209.9419208,4.775316746,-0.802570633,1.647997098,0
VCrO3,"[0.556, -0.3926, -0.3654, -0.9499, 0.028, 0.871, 0.6315, 0.5571]",209.6349191,4.782309999,-1.150553486,1.300014245,0
KIO3,"[0.0259, 0.0161, 0.029, -0.682, 0.1262, 0.5268, -0.3002, 0.3046]",350.6688937,4.053475827,-1.366622997,0,2.7868
NaNO3,"[-0.1235, -0.2686, -0.0138, -1.1599, -0.111, 0.9297, 0.3399, 0.967]",479.75224,2.353497614,-0.994613893,0,3.0097
BaGeO3,"[0.0023, -0.5416, 0.199, -0.9322, -0.1698, 0.6576, 0.1526, 0.5341]",580.7472411,4.425621979,-2.369768002,0.32623321,2.2342
